category,component,name_cn,name_en,description,import_path,props,slots,common_usage
tables,ArtTable,数据表格,Data Table,支持分页、排序、自定义列、响应式高度的数据表格,@/components/core/tables/art-table,data,columns,pagination,loading,height,border,stripe,default,action,status,custom column,CRUD列表页
tables,ArtTableHeader,表格头部工具栏,Table Header Toolbar,表格顶部工具栏（新增、批量删除、导出等）,@/components/core/tables/art-table-header,title,buttons,table-actions,default,列表页工具栏
forms,ArtForm,表单组件,Form Component,支持响应式、校验、各种表单项类型,@/components/core/forms/art-form,items,modelValue,span,gutter,labelPosition,showReset,showSubmit,default,表单页、筛选条件
forms,ArtSearchBar,搜索栏,Search Bar,表单式搜索栏，自动布局,@/components/core/forms/art-search-bar,items,modelValue,span,search-button-text,default,列表页搜索
forms,ArtButtonTable,表格操作按钮组,Table Action Buttons,表格行的操作按钮（编辑、删除等）,@/components/core/forms/art-button-table,buttons,row,default,表格操作列
forms,ArtButtonMore,更多操作按钮,More Actions Button,下拉式更多操作按钮,@/components/core/forms/art-button-more,button,row,commands,default,表格操作列溢出
forms,ArtExcelExport,Excel导出,Excel Export,数据导出到Excel,@/components/core/forms/art-excel-export,data,filename,columns,default,数据导出功能
forms,ArtExcelImport,Excel导入,Excel Import,Excel数据导入,@/components/core/forms/art-excel-import,upload-url,template-url,accept,default,批量导入数据
forms,ArtWangEditor,富文本编辑器,Rich Text Editor,基于wangEditor的富文本编辑,@/components/core/forms/art-wang-editor,modelValue,height,placeholder,default,文章内容、公告
forms,ArtDragVerify,拖拽验证,Drag Verify,滑块验证组件,@/components/core/forms/art-drag-verify,v-model,width,height,bar-size,default,表单验证
cards,ArtStatsCard,统计卡片,Stats Card,展示统计数据和趋势,@/components/core/cards/art-stats-card,title,value,icon,color,trend,default,仪表板、数据统计
cards,ArtBarChartCard,柱状图卡片,Bar Chart Card,带图表的卡片组件,@/components/core/cards/art-bar-chart-card,title,data,x-key,y-key,color,default,数据可视化
cards,ArtLineChartCard,折线图卡片,Line Chart Card,带折线图的卡片,@/components/core/cards/art-line-chart-card,title,data,x-key,y-key,color,default,趋势展示
cards,ArtDonutChartCard,环形图卡片,Donut Chart Card,带环形图的卡片,@/components/core/cards/art-donut-chart-card,title,data,name-key,value-key,default,占比分析
cards,ArtProgressCard,进度卡片,Progress Card,显示进度百分比,@/components/core/cards/art-progress-card,title,percentage,color,status,default,任务进度、完成度
cards,ArtDataListCard,数据列表卡片,Data List Card,列表形式的数据展示,@/components/core/cards/art-data-list-card,title,data,columns,default,简洁数据展示
cards,ArtTimelineListCard,时间轴列表卡片,Timeline List Card,时间轴形式的数据列表,@/components/core/cards/art-timeline-list-card,title,data,timestamp-key,content-key,default,操作日志、变更记录
cards,ArtImageCard,图片卡片,Image Card,展示图片的卡片,@/components/core/cards/art-image-card,src,title,description,actions,default,图片展示
charts,ArtBarChart,柱状图,Bar Chart,ECharts柱状图,@/components/core/charts/art-bar-chart,data,x-key,y-key,color,default,数据对比
charts,ArtLineChart,折线图,Line Chart,ECharts折线图,@/components/core/charts/art-line-chart,data,x-key,y-key,color,default,趋势分析
charts,ArtRingChart,环形图,Ring Chart,ECharts环形图,@/components/core/charts/art-ring-chart,data,name-key,value-key,default,占比分析
charts,ArtRadarChart,雷达图,Radar Chart,ECharts雷达图,@/components/core/charts/art-radar-chart,data,indicators,default,多维对比
charts,ArtMapChart,地图图表,Map Chart,ECharts地图图表,@/components/core/charts/art-map-chart,data,map-key,value-key,default,地理数据
charts,ArtDualBarCompareChart,双柱状对比图,Dual Bar Compare,双系列柱状图对比,@/components/core/charts/art-dual-bar-compare-chart,data,x-key,y1-key,y2-key,default,数据对比
charts,ArtHBarChart,横向柱状图,Horizontal Bar,横向柱状图,@/components/core/charts/art-h-bar-chart,data,x-key,y-key,default,排名展示
charts,ArtKLineChart,K线图,K-Line Chart,ECharts K线图,@/components/core/charts/art-k-line-chart,data,date,values,default,金融数据
charts,ArtScatterChart,散点图,Scatter Chart,ECharts散点图,@/components/core/charts/art-scatter-chart,data,x-key,y-key,default,相关性分析
layouts,ArtPageContent,页面内容容器,Page Content,页面内容容器，自动计算高度,@/components/core/layouts/art-page-content,default,all pages,所有页面容器
layouts,ArtBreadcrumb,面包屑导航,Breadcrumb,面包屑导航,@/components/core/layouts/art-breadcrumb,routes,default,详情页、多级页面
layouts,ArtHeaderBar,页头工具栏,Header Bar,页面头部工具栏,@/components/core/layouts/art-header-bar,title,actions,default,页面顶部
layouts,ArtWorkTab,多标签页,Work Tab,页面标签页切换,@/components/core/layouts/art-work-tab,default,多标签页管理
layouts,ArtSidebarMenu,侧边栏菜单,Sidebar Menu,左侧菜单导航,@/components/core/layouts/art-menus/art-sidebar-menu,default,主菜单
layouts,ArtHorizontalMenu,水平菜单,Horizontal Menu,顶部水平菜单,@/components/core/layouts/art-menus/art-horizontal-menu,default,顶部导航
layouts,ArtMixedMenu,混合菜单,Mixed Menu,侧边栏+顶部混合菜单,@/components/core/layouts/art-menus/art-mixed-menu,default,主菜单
layouts,ArtFastEnter,快捷入口,Fast Entry,快捷功能入口,@/components/core/layouts/art-fast-enter,items,default,仪表板、首页
layouts,ArtNotification,通知中心,Notification Center,消息通知,@/components/core/layouts/art-notification,default,消息通知
layouts,ArtGlobalComponent,全局组件,Global Component,全局组件容器,@/components/core/layouts/art-global-component,default,全局功能
layouts,ArtGlobalSearch,全局搜索,Global Search,全局搜索功能,@/components/core/layouts/art-global-search,default,全局搜索
layouts,ArtSettingsPanel,设置面板,Settings Panel,设置抽屉面板,@/components/core/layouts/art-settings-panel,default,系统设置
layouts,ArtScreenLock,屏幕锁,Screen Lock,屏幕锁定,@/components/core/layouts/art-screen-lock,default,安全功能
layouts,ArtChatWindow,聊天窗口,Chat Window,聊天窗口组件,@/components/core/layouts/art-chat-window,default,聊天功能
layouts,ArtFireworksEffect,烟花特效,Fireworks Effect,烟花动画效果,@/components/core/layouts/art-fireworks-effect,default,节日特效
media,ArtVideoPlayer,视频播放器,Video Player,视频播放组件,@/components/core/media/art-video-player,src,poster,autoplay,default,视频播放
media,ArtCutterImg,图片裁剪,Image Cropper,图片裁剪组件,@/components/core/media/art-cutter-img,src,width,height,default,头像上传、图片裁剪
banners,ArtBasicBanner,基础横幅,Basic Banner,基础横幅组件,@/components/core/banners/art-basic-banner,title,description,actions,default,页面横幅
banners,ArtCardBanner,卡片横幅,Card Banner,卡片式横幅,@/components/core/banners/art-card-banner,cards,default,首页横幅
text-effect,ArtCountTo,数字动画,Count To,数字滚动动画,@/components/core/text-effect/art-count-to,start,end,duration,default,统计数字动画
text-effect,ArtTextScroll,文本滚动,Text Scroll,文本滚动效果,@/components/core/text-effect/art-text-scroll,text,speed,default,公告、通知
text-effect,ArtFestivalTextScroll,节日文本滚动,Festival Text Scroll,节日主题文本滚动,@/components/core/text-effect/art-festival-text-scroll,text,speed,default,节日特效
base,ArtLogo,系统logo,System Logo,系统Logo组件,@/components/core/base/art-logo,size,default,登录页、侧边栏
base,ArtSvgIcon,SVG图标,SVG Icon,SVG图标组件,@/components/core/base/art-svg-icon,name,color,size,default,图标展示
base,ArtBackToTop,返回顶部,Back to Top,返回顶部按钮,@/components/core/base/art-back-to-top,default,长页面
widget,ArtIconButton,图标按钮,Icon Button,图标按钮组件,@/components/core/widget/art-icon-button,icon,color,size,default,快捷操作
others,ArtMenuRight,右键菜单,Context Menu,右键菜单,@/components/core/others/art-menu-right,items,default,表格行操作
others,ArtWatermark,水印,Watermark,页面水印,@/components/core/others/art-watermark,text,default,安全防护
